19:57:10 Host: 4ab577fa7e74 data: calculator: 1ae36e44f798, result: 5+5/5-3 = 3.0
19:57:11 Host: 4ab577fa7e74 data: calculator: 7166a130c108, result: 5+5/5-3 = 3.0
19:57:11 Host: 4ab577fa7e74 data: calculator: f88208f3c74e, result: 5+5/5-3 = 3.0
22:17:17 Host: 4ab577fa7e74 data: calculator: 7166a130c108, result: 5+5/5-3 = 3.0
22:19:12 Host: 4ab577fa7e74 data: calculator: 7166a130c108, result: 5+5/5-3 = 3.0
22:20:21 Host: 4ab577fa7e74 data: calculator: f88208f3c74e, result: 5+5/5-3 = 3.0
22:23:37 Host: 4ab577fa7e74 data: calculator: f88208f3c74e, result: 5+5/5-3 = 3.0
22:24:38 Host: 4ab577fa7e74 data: calculator: 7166a130c108, result: 5+5/5-3 = 3.0
22:25:30 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:26:38 Host: 2ce755c64c3d data: calculator: ca12902ef297, result: 5+5/5-3 = 3.0
22:27:35 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:28:13 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:29:29 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:30:56 Host: 2ce755c64c3d data: calculator: ca12902ef297, result: 5+5/5-3 = 3.0
22:32:29 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:32:37 Host: 2ce755c64c3d data: calculator: ca12902ef297, result: 5+5/5-3 = 3.0
22:32:38 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:32:39 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:33:36 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:33:40 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:33:41 Host: 2ce755c64c3d data: calculator: ca12902ef297, result: 5+5/5-3 = 3.0
22:33:42 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:35:9 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:36:18 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:36:21 Host: 2ce755c64c3d data: calculator: ca12902ef297, result: 5+5/5-3 = 3.0
22:36:24 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:36:29 Host: 2ce755c64c3d data: calculator: 3f96dcd178a6, result: 5+5/5-3 = 3.0
22:40:30 Host: 2ce755c64c3d data: calculator: ca12902ef297, result: 5+5/5-3 = 3.0
