t = 0.00, x = 10.0095, v = 0.8995
t = 0.01, x = 10.0180, v = 0.7990
t = 0.02, x = 10.0255, v = 0.6985
t = 0.03, x = 10.0320, v = 0.5980
t = 0.04, x = 10.0374, v = 0.4975
t = 0.05, x = 10.0419, v = 0.3970
t = 0.06, x = 10.0454, v = 0.2965
t = 0.07, x = 10.0478, v = 0.1960
t = 0.08, x = 10.0493, v = 0.0955
t = 0.09, x = 10.0498, v = -0.0050
t = 0.10, x = 10.0492, v = -0.1055
t = 0.11, x = 10.0476, v = -0.2060
t = 0.12, x = 10.0451, v = -0.3064
t = 0.13, x = 10.0415, v = -0.4068
t = 0.14, x = 10.0369, v = -0.5071
t = 0.15, x = 10.0314, v = -0.6073
t = 0.16, x = 10.0248, v = -0.7073
t = 0.17, x = 10.0172, v = -0.8072
t = 0.18, x = 10.0087, v = -0.9070
t = 0.19, x = 9.9991, v = -1.0066
t = 0.20, x = 9.9885, v = -1.1060
t = 0.21, x = 9.9770, v = -1.2051
t = 0.22, x = 9.9644, v = -1.3041
t = 0.23, x = 9.9509, v = -1.4027
t = 0.24, x = 9.9364, v = -1.5011
t = 0.25, x = 9.9209, v = -1.5992
t = 0.26, x = 9.9044, v = -1.6970
t = 0.27, x = 9.8869, v = -1.7944
t = 0.28, x = 9.8685, v = -1.8915
t = 0.29, x = 9.8491, v = -1.9882
t = 0.30, x = 9.8287, v = -2.0845
t = 0.31, x = 9.8074, v = -2.1804
t = 0.32, x = 9.7851, v = -2.2759
t = 0.33, x = 9.7619, v = -2.3709
t = 0.34, x = 9.7377, v = -2.4655
t = 0.35, x = 9.7126, v = -2.5596
t = 0.36, x = 9.6865, v = -2.6532
t = 0.37, x = 9.6595, v = -2.7463
t = 0.38, x = 9.6316, v = -2.8389
t = 0.39, x = 9.6027, v = -2.9309
t = 0.40, x = 9.5730, v = -3.0223
t = 0.41, x = 9.5423, v = -3.1132
t = 0.42, x = 9.5107, v = -3.2035
t = 0.43, x = 9.4782, v = -3.2931
t = 0.44, x = 9.4448, v = -3.3822
t = 0.45, x = 9.4106, v = -3.4706
t = 0.46, x = 9.3754, v = -3.5584
t = 0.47, x = 9.3394, v = -3.6454
t = 0.48, x = 9.3025, v = -3.7318
t = 0.49, x = 9.2648, v = -3.8176
t = 0.50, x = 9.2262, v = -3.9026
t = 0.51, x = 9.1867, v = -3.9869
t = 0.52, x = 9.1464, v = -4.0704
t = 0.53, x = 9.1053, v = -4.1532
t = 0.54, x = 9.0634, v = -4.2353
t = 0.55, x = 9.0206, v = -4.3165
t = 0.56, x = 8.9770, v = -4.3970
t = 0.57, x = 8.9327, v = -4.4767
t = 0.58, x = 8.8875, v = -4.5557
t = 0.59, x = 8.8416, v = -4.6337
t = 0.60, x = 8.7948, v = -4.7110
t = 0.61, x = 8.7473, v = -4.7874
t = 0.62, x = 8.6991, v = -4.8630
t = 0.63, x = 8.6501, v = -4.9378
t = 0.64, x = 8.6003, v = -5.0117
t = 0.65, x = 8.5498, v = -5.0847
t = 0.66, x = 8.4986, v = -5.1568
t = 0.67, x = 8.4467, v = -5.2280
t = 0.68, x = 8.3941, v = -5.2984
t = 0.69, x = 8.3407, v = -5.3678
t = 0.70, x = 8.2867, v = -5.4364
t = 0.71, x = 8.2320, v = -5.5040
t = 0.72, x = 8.1766, v = -5.5707
t = 0.73, x = 8.1206, v = -5.6365
t = 0.74, x = 8.0639, v = -5.7014
t = 0.75, x = 8.0066, v = -5.7653
t = 0.76, x = 7.9486, v = -5.8283
t = 0.77, x = 7.8900, v = -5.8903
t = 0.78, x = 7.8308, v = -5.9514
t = 0.79, x = 7.7710, v = -6.0115
t = 0.80, x = 7.7106, v = -6.0707
t = 0.81, x = 7.6496, v = -6.1289
t = 0.82, x = 7.5880, v = -6.1861
t = 0.83, x = 7.5258, v = -6.2423
t = 0.84, x = 7.4631, v = -6.2976
t = 0.85, x = 7.3999, v = -6.3519
t = 0.86, x = 7.3361, v = -6.4053
t = 0.87, x = 7.2718, v = -6.4576
t = 0.88, x = 7.2069, v = -6.5090
t = 0.89, x = 7.1416, v = -6.5594
t = 0.90, x = 7.0758, v = -6.6088
t = 0.91, x = 7.0094, v = -6.6572
t = 0.92, x = 6.9426, v = -6.7047
t = 0.93, x = 6.8753, v = -6.7511
t = 0.94, x = 6.8076, v = -6.7966
t = 0.95, x = 6.7394, v = -6.8411
t = 0.96, x = 6.6708, v = -6.8846
t = 0.97, x = 6.6017, v = -6.9271
t = 0.98, x = 6.5322, v = -6.9687
t = 0.99, x = 6.4623, v = -7.0092
t = 1.00, x = 6.3920, v = -7.0488
t = 1.01, x = 6.3214, v = -7.0874
t = 1.02, x = 6.2503, v = -7.1250
t = 1.03, x = 6.1789, v = -7.1616
t = 1.04, x = 6.1071, v = -7.1973
t = 1.05, x = 6.0349, v = -7.2319
t = 1.06, x = 5.9624, v = -7.2657
t = 1.07, x = 5.8896, v = -7.2984
t = 1.08, x = 5.8165, v = -7.3302
t = 1.09, x = 5.7430, v = -7.3610
t = 1.10, x = 5.6692, v = -7.3909
t = 1.11, x = 5.5952, v = -7.4198
t = 1.12, x = 5.5208, v = -7.4477
t = 1.13, x = 5.4462, v = -7.4747
t = 1.14, x = 5.3713, v = -7.5008
t = 1.15, x = 5.2962, v = -7.5259
t = 1.16, x = 5.2208, v = -7.5500
t = 1.17, x = 5.1452, v = -7.5733
t = 1.18, x = 5.0694, v = -7.5956
t = 1.19, x = 4.9933, v = -7.6170
t = 1.20, x = 4.9170, v = -7.6374
t = 1.21, x = 4.8405, v = -7.6570
t = 1.22, x = 4.7639, v = -7.6756
t = 1.23, x = 4.6870, v = -7.6933
t = 1.24, x = 4.6100, v = -7.7102
t = 1.25, x = 4.5328, v = -7.7261
t = 1.26, x = 4.4555, v = -7.7411
t = 1.27, x = 4.3780, v = -7.7553
t = 1.28, x = 4.3004, v = -7.7686
t = 1.29, x = 4.2226, v = -7.7809
t = 1.30, x = 4.1448, v = -7.7925
t = 1.31, x = 4.0668, v = -7.8031
t = 1.32, x = 3.9887, v = -7.8129
t = 1.33, x = 3.9105, v = -7.8218
t = 1.34, x = 3.8323, v = -7.8299
t = 1.35, x = 3.7539, v = -7.8372
t = 1.36, x = 3.6755, v = -7.8436
t = 1.37, x = 3.5971, v = -7.8492
t = 1.38, x = 3.5185, v = -7.8539
t = 1.39, x = 3.4400, v = -7.8579
t = 1.40, x = 3.3614, v = -7.8610
t = 1.41, x = 3.2828, v = -7.8633
t = 1.42, x = 3.2041, v = -7.8648
t = 1.43, x = 3.1255, v = -7.8655
t = 1.44, x = 3.0468, v = -7.8654
t = 1.45, x = 2.9682, v = -7.8646
t = 1.46, x = 2.8895, v = -7.8630
t = 1.47, x = 2.8109, v = -7.8606
t = 1.48, x = 2.7323, v = -7.8574
t = 1.49, x = 2.6537, v = -7.8535
t = 1.50, x = 2.5752, v = -7.8488
t = 1.51, x = 2.4968, v = -7.8434
t = 1.52, x = 2.4184, v = -7.8372
t = 1.53, x = 2.3400, v = -7.8303
t = 1.54, x = 2.2618, v = -7.8227
t = 1.55, x = 2.1836, v = -7.8144
t = 1.56, x = 2.1055, v = -7.8053
t = 1.57, x = 2.0275, v = -7.7955
t = 1.58, x = 1.9496, v = -7.7851
t = 1.59, x = 1.8718, v = -7.7739
t = 1.60, x = 1.7941, v = -7.7621
t = 1.61, x = 1.7165, v = -7.7496
t = 1.62, x = 1.6391, v = -7.7364
t = 1.63, x = 1.5618, v = -7.7225
t = 1.64, x = 1.4846, v = -7.7080
t = 1.65, x = 1.4076, v = -7.6928
t = 1.66, x = 1.3308, v = -7.6769
t = 1.67, x = 1.2541, v = -7.6604
t = 1.68, x = 1.1776, v = -7.6433
t = 1.69, x = 1.1012, v = -7.6256
t = 1.70, x = 1.0251, v = -7.6072
t = 1.71, x = 0.9491, v = -7.5882
t = 1.72, x = 0.8733, v = -7.5686
t = 1.73, x = 0.7977, v = -7.5484
t = 1.74, x = 0.7223, v = -7.5276
t = 1.75, x = 0.6472, v = -7.5062
t = 1.76, x = 0.5722, v = -7.4842
t = 1.77, x = 0.4975, v = -7.4616
t = 1.78, x = 0.4230, v = -7.4385
t = 1.79, x = 0.3487, v = -7.4147
t = 1.80, x = 0.2747, v = -7.3904
t = 1.81, x = 0.2009, v = -7.3656
t = 1.82, x = 0.1274, v = -7.3402
t = 1.83, x = 0.0541, v = -7.3143
t = 1.84, x = -0.0189, v = -7.2878
t = 1.85, x = -0.0917, v = -7.2608
t = 1.86, x = -0.1641, v = -7.2332
t = 1.87, x = -0.2363, v = -7.2052
t = 1.88, x = -0.3082, v = -7.1766
t = 1.89, x = -0.3799, v = -7.1475
t = 1.90, x = -0.4512, v = -7.1179
t = 1.91, x = -0.5222, v = -7.0878
t = 1.92, x = -0.5929, v = -7.0572
t = 1.93, x = -0.6634, v = -7.0262
t = 1.94, x = -0.7335, v = -6.9946
t = 1.95, x = -0.8032, v = -6.9626
t = 1.96, x = -0.8727, v = -6.9301
t = 1.97, x = -0.9418, v = -6.8971
t = 1.98, x = -1.0107, v = -6.8637
t = 1.99, x = -1.0791, v = -6.8298
t = 2.00, x = -1.1472, v = -6.7954
t = 2.01, x = -1.2150, v = -6.7606
t = 2.02, x = -1.2825, v = -6.7254
t = 2.03, x = -1.3495, v = -6.6898
t = 2.04, x = -1.4163, v = -6.6537
t = 2.05, x = -1.4826, v = -6.6172
t = 2.06, x = -1.5486, v = -6.5802
t = 2.07, x = -1.6142, v = -6.5429
t = 2.08, x = -1.6795, v = -6.5051
t = 2.09, x = -1.7443, v = -6.4670
t = 2.10, x = -1.8088, v = -6.4284
t = 2.11, x = -1.8729, v = -6.3895
t = 2.12, x = -1.9366, v = -6.3501
t = 2.13, x = -1.9999, v = -6.3104
t = 2.14, x = -2.0628, v = -6.2703
t = 2.15, x = -2.1253, v = -6.2299
t = 2.16, x = -2.1874, v = -6.1890
t = 2.17, x = -2.2491, v = -6.1478
t = 2.18, x = -2.3104, v = -6.1062
t = 2.19, x = -2.3712, v = -6.0643
