t 	x 	v
0.0000	10.0000	1.0000
0.0100	10.0095	0.8932
0.0200	10.0179	0.7878
0.0300	10.0252	0.6835
0.0400	10.0315	0.5802
0.0500	10.0368	0.4778
0.0600	10.0411	0.3760
0.0700	10.0443	0.2748
0.0800	10.0466	0.1740
0.0900	10.0478	0.0734
0.1000	10.0481	-0.0271
0.1100	10.0473	-0.1275
0.1200	10.0455	-0.2277
0.1300	10.0427	-0.3276
0.1400	10.0390	-0.4270
0.1500	10.0342	-0.5256
0.1600	10.0284	-0.6235
0.1700	10.0217	-0.7203
0.1800	10.0140	-0.8161
0.1900	10.0054	-0.9106
0.2000	9.9958	-1.0037
0.2100	9.9853	-1.0954
0.2200	9.9739	-1.1854
0.2300	9.9616	-1.2737
0.2400	9.9484	-1.3603
0.2500	9.9344	-1.4449
0.2600	9.9195	-1.5276
0.2700	9.9039	-1.6083
0.2800	9.8874	-1.6869
0.2900	9.8701	-1.7633
0.3000	9.8521	-1.8376
0.3100	9.8334	-1.9097
0.3200	9.8139	-1.9795
0.3300	9.7938	-2.0472
0.3400	9.7730	-2.1125
0.3500	9.7515	-2.1757
0.3600	9.7295	-2.2366
0.3700	9.7068	-2.2952
0.3800	9.6836	-2.3517
0.3900	9.6598	-2.4059
0.4000	9.6354	-2.4580
0.4100	9.6106	-2.5080
0.4200	9.5853	-2.5559
0.4300	9.5595	-2.6017
0.4400	9.5332	-2.6455
0.4500	9.5066	-2.6874
0.4600	9.4795	-2.7273
0.4700	9.4520	-2.7654
0.4800	9.4242	-2.8016
0.4900	9.3960	-2.8361
0.5000	9.3675	-2.8689
0.5100	9.3386	-2.9000
0.5200	9.3095	-2.9295
0.5300	9.2800	-2.9575
0.5400	9.2503	-2.9839
0.5500	9.2203	-3.0089
0.5600	9.1901	-3.0325
0.5700	9.1597	-3.0548
0.5800	9.1290	-3.0757
0.5900	9.0982	-3.0954
0.6000	9.0671	-3.1140
0.6100	9.0359	-3.1313
0.6200	9.0045	-3.1476
0.6300	8.9730	-3.1628
0.6400	8.9412	-3.1770
0.6500	8.9094	-3.1902
0.6600	8.8774	-3.2025
0.6700	8.8454	-3.2139
0.6800	8.8132	-3.2245
0.6900	8.7809	-3.2342
0.7000	8.7485	-3.2432
0.7100	8.7160	-3.2514
0.7200	8.6835	-3.2590
0.7300	8.6508	-3.2658
0.7400	8.6181	-3.2720
0.7500	8.5854	-3.2776
0.7600	8.5526	-3.2826
0.7700	8.5197	-3.2870
0.7800	8.4868	-3.2909
0.7900	8.4539	-3.2943
0.8000	8.4210	-3.2972
0.8100	8.3880	-3.2996
0.8200	8.3550	-3.3016
0.8300	8.3219	-3.3032
0.8400	8.2889	-3.3044
0.8500	8.2559	-3.3052
0.8600	8.2228	-3.3056
0.8700	8.1897	-3.3058
0.8800	8.1567	-3.3055
0.8900	8.1236	-3.3050
0.9000	8.0906	-3.3042
0.9100	8.0575	-3.3030
0.9200	8.0245	-3.3017
0.9300	7.9915	-3.3000
0.9400	7.9585	-3.2981
0.9500	7.9256	-3.2960
0.9600	7.8926	-3.2937
0.9700	7.8597	-3.2911
0.9800	7.8268	-3.2884
0.9900	7.7939	-3.2855
1.0000	7.7611	-3.2824
1.0100	7.7283	-3.2791
1.0200	7.6955	-3.2756
1.0300	7.6627	-3.2721
1.0400	7.6300	-3.2683
1.0500	7.5974	-3.2644
1.0600	7.5648	-3.2604
1.0700	7.5322	-3.2563
1.0800	7.4996	-3.2520
1.0900	7.4671	-3.2476
1.1000	7.4347	-3.2431
1.1100	7.4023	-3.2385
1.1200	7.3699	-3.2339
