omega	amplitude
0.00	1.39469
0.01	1.14505
0.02	0.68876
0.03	1.28454
0.04	1.37742
0.05	1.19650
0.06	1.23216
0.07	1.33872
0.08	1.37824
0.09	1.37616
0.10	1.33718
0.11	1.32416
0.12	1.32214
0.13	1.32823
0.14	1.33258
0.15	1.35628
0.16	1.38795
0.17	1.37138
0.18	1.35596
0.19	1.36548
0.20	1.22273
0.21	1.40161
0.22	1.36174
0.23	1.30794
0.24	1.40407
0.25	1.37535
0.26	1.43045
0.27	1.39936
0.28	1.31507
0.29	1.42173
0.30	1.36735
0.31	1.28660
0.32	1.42760
0.33	1.19580
0.34	1.33398
0.35	1.45758
0.36	1.24428
0.37	1.42225
0.38	1.41590
0.39	1.39596
0.40	1.46136
0.41	1.37901
0.42	1.43668
0.43	1.46434
0.44	1.47135
0.45	1.41580
0.46	1.51091
0.47	1.41081
0.48	1.51546
0.49	1.42985
0.50	1.51726
0.51	1.42493
0.52	1.58359
0.53	1.51578
0.54	1.59509
0.55	1.55076
0.56	1.61488
0.57	1.56937
0.58	1.62726
0.59	1.64098
0.60	1.65201
0.61	1.73722
0.62	1.72949
0.63	1.75522
0.64	1.78952
0.65	1.80272
0.66	1.82309
0.67	1.86509
0.68	1.90275
0.69	1.97469
0.70	2.02148
0.71	2.06630
0.72	2.11245
0.73	2.16404
0.74	2.22219
0.75	2.28717
0.76	2.36928
0.77	2.44662
0.78	2.54643
0.79	2.63590
0.80	2.73509
0.81	2.84414
0.82	2.96395
0.83	3.09412
0.84	3.23452
0.85	3.38885
0.86	3.54555
0.87	3.70892
0.88	3.87570
0.89	4.04354
0.90	4.20779
0.91	4.36342
0.92	4.50607
0.93	4.63184
0.94	4.73662
0.95	4.81816
0.96	4.87500
0.97	4.90712
0.98	4.91453
0.99	4.89793
1.00	4.85824
1.01	4.79686
1.02	4.71516
1.03	4.61494
1.04	4.49803
1.05	4.36643
1.06	4.22249
1.07	4.06876
1.08	3.90801
1.09	3.74270
1.10	3.57549
1.11	3.40895
1.12	3.24543
1.13	3.08643
1.14	2.93306
1.15	2.78596
1.16	2.64737
1.17	2.51737
1.18	2.39581
1.19	2.28268
1.20	2.17773
1.21	2.08074
1.22	1.98974
1.23	1.90224
1.24	1.81828
1.25	1.74484
1.26	1.67676
1.27	1.61363
1.28	1.55518
1.29	1.50162
1.30	1.45214
1.31	1.40254
1.32	1.34944
1.33	1.30227
1.34	1.26275
1.35	1.22494
1.36	1.19153
1.37	1.16003
1.38	1.12783
1.39	1.10237
1.40	1.06969
1.41	1.02943
1.42	1.00581
1.43	0.98051
1.44	0.96078
1.45	0.93918
1.46	0.92058
1.47	0.90176
1.48	0.88530
1.49	0.85888
1.50	0.83316
1.51	0.81486
1.52	0.80305
1.53	0.78455
1.54	0.77615
1.55	0.75744
1.56	0.75102
1.57	0.73742
1.58	0.71296
1.59	0.69577
1.60	0.68878
1.61	0.67113
1.62	0.66869
1.63	0.65747
1.64	0.64507
1.65	0.64265
1.66	0.62926
1.67	0.60608
1.68	0.60207
1.69	0.58721
1.70	0.58472
1.71	0.57975
1.72	0.56389
1.73	0.56366
1.74	0.56022
1.75	0.54606
1.76	0.53401
1.77	0.52125
1.78	0.51674
1.79	0.51685
1.80	0.50654
1.81	0.49507
1.82	0.49982
1.83	0.49467
1.84	0.47956
1.85	0.46792
1.86	0.46016
1.87	0.46433
1.88	0.45880
1.89	0.44397
1.90	0.44534
1.91	0.44779
1.92	0.44089
1.93	0.42498
1.94	0.41213
1.95	0.41944
1.96	0.41796
1.97	0.40737
1.98	0.39549
1.99	0.40381
2.00	0.40390
2.01	0.39540
2.02	0.37894
2.03	0.38061
2.04	0.38237
2.05	0.37568
2.06	0.36101
2.07	0.36320
2.08	0.36893
2.09	0.36691
2.10	0.35710
2.11	0.34671
2.12	0.35095
2.13	0.34765
2.14	0.33677
2.15	0.33380
2.16	0.33501
2.17	0.33834
2.18	0.33452
2.19	0.32375
2.20	0.32282
2.21	0.32235
2.22	0.31482
2.23	0.30911
2.24	0.30997
2.25	0.31015
2.26	0.31134
2.27	0.30604
2.28	0.29750
2.29	0.29934
2.30	0.29472
2.31	0.28740
2.32	0.28830
2.33	0.28274
2.34	0.28791
2.35	0.28729
2.36	0.28083
2.37	0.27831
2.38	0.27615
2.39	0.26819
2.40	0.26907
2.41	0.26405
2.42	0.26460
2.43	0.26782
2.44	0.26568
2.45	0.25900
2.46	0.25888
2.47	0.25340
2.48	0.25190
2.49	0.24734
2.50	0.24522
2.51	0.24804
2.52	0.24954
2.53	0.24618
2.54	0.24281
2.55	0.23945
2.56	0.23648
2.57	0.23233
2.58	0.23016
2.59	0.22837
2.60	0.23279
2.61	0.23283
2.62	0.22849
2.63	0.22625
2.64	0.22254
2.65	0.21877
2.66	0.21613
2.67	0.21290
2.68	0.21581
2.69	0.21866
2.70	0.21750
2.71	0.21375
2.72	0.20991
2.73	0.20647
2.74	0.20302
2.75	0.19942
2.76	0.19898
2.77	0.20405
2.78	0.20555
2.79	0.20340
2.80	0.19940
2.81	0.19524
2.82	0.19115
2.83	0.18699
2.84	0.18273
2.85	0.18931
2.86	0.19297
2.87	0.19333
2.88	0.19037
2.89	0.18502
2.90	0.17936
2.91	0.17343
2.92	0.16688
2.93	0.17464
2.94	0.17998
2.95	0.18233
2.96	0.18160
2.97	0.17782
2.98	0.17123
2.99	0.16219
3.00	0.15162
