t = 0.00, x = 10.0095, v = 0.9095
t = 0.01, x = 10.0182, v = 0.8190
t = 0.02, x = 10.0259, v = 0.7285
t = 0.03, x = 10.0328, v = 0.6379
t = 0.04, x = 10.0387, v = 0.5474
t = 0.05, x = 10.0437, v = 0.4569
t = 0.06, x = 10.0478, v = 0.3663
t = 0.07, x = 10.0510, v = 0.2758
t = 0.08, x = 10.0533, v = 0.1852
t = 0.09, x = 10.0547, v = 0.0947
t = 0.10, x = 10.0552, v = 0.0041
t = 0.11, x = 10.0548, v = -0.0864
t = 0.12, x = 10.0535, v = -0.1770
t = 0.13, x = 10.0513, v = -0.2675
t = 0.14, x = 10.0482, v = -0.3579
t = 0.15, x = 10.0441, v = -0.4483
t = 0.16, x = 10.0392, v = -0.5386
t = 0.17, x = 10.0333, v = -0.6288
t = 0.18, x = 10.0266, v = -0.7189
t = 0.19, x = 10.0190, v = -0.8088
t = 0.20, x = 10.0104, v = -0.8986
t = 0.21, x = 10.0010, v = -0.9882
t = 0.22, x = 9.9907, v = -1.0776
t = 0.23, x = 9.9794, v = -1.1669
t = 0.24, x = 9.9673, v = -1.2559
t = 0.25, x = 9.9543, v = -1.3446
t = 0.26, x = 9.9404, v = -1.4332
t = 0.27, x = 9.9257, v = -1.5214
t = 0.28, x = 9.9100, v = -1.6093
t = 0.29, x = 9.8935, v = -1.6970
t = 0.30, x = 9.8761, v = -1.7843
t = 0.31, x = 9.8578, v = -1.8713
t = 0.32, x = 9.8386, v = -1.9580
t = 0.33, x = 9.8186, v = -2.0443
t = 0.34, x = 9.7978, v = -2.1302
t = 0.35, x = 9.7760, v = -2.2157
t = 0.36, x = 9.7534, v = -2.3008
t = 0.37, x = 9.7300, v = -2.3855
t = 0.38, x = 9.7057, v = -2.4697
t = 0.39, x = 9.6806, v = -2.5535
t = 0.40, x = 9.6547, v = -2.6368
t = 0.41, x = 9.6279, v = -2.7196
t = 0.42, x = 9.6003, v = -2.8019
t = 0.43, x = 9.5718, v = -2.8838
t = 0.44, x = 9.5426, v = -2.9651
t = 0.45, x = 9.5125, v = -3.0458
t = 0.46, x = 9.4817, v = -3.1260
t = 0.47, x = 9.4500, v = -3.2057
t = 0.48, x = 9.4176, v = -3.2848
t = 0.49, x = 9.3843, v = -3.3632
t = 0.50, x = 9.3503, v = -3.4411
t = 0.51, x = 9.3155, v = -3.5184
t = 0.52, x = 9.2799, v = -3.5951
t = 0.53, x = 9.2436, v = -3.6711
t = 0.54, x = 9.2065, v = -3.7465
t = 0.55, x = 9.1687, v = -3.8212
t = 0.56, x = 9.1301, v = -3.8952
t = 0.57, x = 9.0908, v = -3.9686
t = 0.58, x = 9.0507, v = -4.0413
t = 0.59, x = 9.0099, v = -4.1133
t = 0.60, x = 8.9685, v = -4.1846
t = 0.61, x = 8.9263, v = -4.2551
t = 0.62, x = 8.8834, v = -4.3250
t = 0.63, x = 8.8398, v = -4.3941
t = 0.64, x = 8.7955, v = -4.4625
t = 0.65, x = 8.7505, v = -4.5301
t = 0.66, x = 8.7049, v = -4.5970
t = 0.67, x = 8.6586, v = -4.6631
t = 0.68, x = 8.6116, v = -4.7284
t = 0.69, x = 8.5640, v = -4.7929
t = 0.70, x = 8.5157, v = -4.8567
t = 0.71, x = 8.4669, v = -4.9197
t = 0.72, x = 8.4174, v = -4.9818
t = 0.73, x = 8.3672, v = -5.0432
t = 0.74, x = 8.3165, v = -5.1037
t = 0.75, x = 8.2652, v = -5.1635
t = 0.76, x = 8.2132, v = -5.2224
t = 0.77, x = 8.1607, v = -5.2805
t = 0.78, x = 8.1076, v = -5.3377
t = 0.79, x = 8.0539, v = -5.3941
t = 0.80, x = 7.9997, v = -5.4497
t = 0.81, x = 7.9450, v = -5.5044
t = 0.82, x = 7.8896, v = -5.5583
t = 0.83, x = 7.8338, v = -5.6113
t = 0.84, x = 7.7774, v = -5.6635
t = 0.85, x = 7.7205, v = -5.7148
t = 0.86, x = 7.6631, v = -5.7652
t = 0.87, x = 7.6052, v = -5.8148
t = 0.88, x = 7.5468, v = -5.8635
t = 0.89, x = 7.4879, v = -5.9114
t = 0.90, x = 7.4286, v = -5.9583
t = 0.91, x = 7.3688, v = -6.0044
t = 0.92, x = 7.3085, v = -6.0497
t = 0.93, x = 7.2478, v = -6.0940
t = 0.94, x = 7.1866, v = -6.1375
